Report Date,FIPS,Locality,VDH Health District,Total Cases,Hospitalizations,Deaths
10/14/2020,51021,Bland,Mount Rogers,64,3,5
10/14/2020,51023,Botetourt,Alleghany,340,24,11
10/14/2020,51025,Brunswick,Southside,398,30,5
10/14/2020,51027,Buchanan,Cumberland Plateau,215,13,2
10/14/2020,51029,Buckingham,Piedmont,715,25,9
10/14/2020,51031,Campbell,Central Virginia,587,22,5
10/14/2020,51033,Caroline,Rappahannock,386,30,5
10/14/2020,51035,Carroll,Mount Rogers,534,48,25
10/14/2020,51036,Charles City,Chickahominy,90,22,5
10/14/2020,51037,Charlotte,Piedmont,187,8,0
10/14/2020,51041,Chesterfield,Chesterfield,6478,386,98
10/14/2020,51043,Clarke,Lord Fairfax,111,12,1
10/14/2020,51045,Craig,Alleghany,38,3,0
10/14/2020,51047,Culpeper,Rappahannock Rapidan,1257,94,18
10/14/2020,51049,Cumberland,Piedmont,111,8,2
10/14/2020,51051,Dickenson,Cumberland Plateau,112,8,1
10/14/2020,51053,Dinwiddie,Crater,458,40,12
10/14/2020,51057,Essex,Three Rivers,187,12,2
10/14/2020,51059,Fairfax,Fairfax,22275,2198,599
10/14/2020,51061,Fauquier,Rappahannock Rapidan,1021,51,25
10/14/2020,51063,Floyd,New River,227,13,16
10/14/2020,51065,Fluvanna,Thomas Jefferson,402,38,9
10/14/2020,51067,Franklin County,West Piedmont,568,22,4
10/14/2020,51069,Frederick,Lord Fairfax,1041,69,13
10/14/2020,51071,Giles,New River,101,4,0
10/14/2020,51073,Gloucester,Three Rivers,313,15,3
10/14/2020,51075,Goochland,Chickahominy,305,28,7
10/14/2020,51077,Grayson,Mount Rogers,344,27,18
10/14/2020,51079,Greene,Thomas Jefferson,255,12,3
10/14/2020,51081,Greensville,Crater,839,37,11
10/14/2020,51083,Halifax,Southside,428,14,7
10/14/2020,51085,Hanover,Chickahominy,1475,110,40
10/14/2020,51087,Henrico,Henrico,5832,463,222
10/14/2020,51089,Henry,West Piedmont,1207,131,30
10/14/2020,51091,Highland,Central Shenandoah,9,0,0
10/14/2020,51093,Isle of Wight,Western Tidewater,816,39,22
10/14/2020,51095,James City,Peninsula,906,67,21
10/14/2020,51097,King and Queen,Three Rivers,83,12,1
10/14/2020,51099,King George,Rappahannock,257,24,4
10/14/2020,51101,King William,Three Rivers,183,15,2
10/14/2020,51103,Lancaster,Three Rivers,170,8,0
10/14/2020,51105,Lee,Lenowisco,354,30,8
10/14/2020,51107,Loudoun,Loudoun,7301,452,128
10/14/2020,51109,Louisa,Thomas Jefferson,351,32,7
10/14/2020,51111,Lunenburg,Piedmont,132,7,3
10/14/2020,51113,Madison,Rappahannock Rapidan,117,8,3
10/14/2020,51115,Mathews,Three Rivers,122,8,0
10/14/2020,51117,Mecklenburg,Southside,838,45,34
10/14/2020,51119,Middlesex,Three Rivers,135,8,11
10/14/2020,51121,Montgomery,New River,2384,27,5
10/14/2020,51125,Nelson,Thomas Jefferson,122,5,2
10/14/2020,51127,New Kent,Chickahominy,253,14,3
10/14/2020,51131,Northampton,Eastern Shore,311,49,31
10/14/2020,51133,Northumberland,Three Rivers,204,12,6
10/14/2020,51135,Nottoway,Piedmont,308,44,20
10/14/2020,51137,Orange,Rappahannock Rapidan,360,24,5
10/14/2020,51139,Page,Lord Fairfax,439,47,30
10/14/2020,51141,Patrick,West Piedmont,296,52,26
10/14/2020,51143,Pittsylvania,Pittsylvania-Danville,1171,67,11
10/14/2020,51145,Powhatan,Chesterfield,267,16,5
10/14/2020,51147,Prince Edward,Piedmont,683,34,12
10/14/2020,51149,Prince George,Crater,975,24,5
10/14/2020,51153,Prince William,Prince William,13311,952,216
10/14/2020,51155,Pulaski,New River,254,15,5
10/14/2020,51157,Rappahannock,Rappahannock Rapidan,65,5,2
10/14/2020,51159,Richmond County,Three Rivers,371,14,4
10/14/2020,51161,Roanoke County,Alleghany,1166,41,8
10/14/2020,51163,Rockbridge,Central Shenandoah,140,7,3
10/14/2020,51165,Rockingham,Central Shenandoah,1649,122,22
10/14/2020,51167,Russell,Cumberland Plateau,368,33,8
10/14/2020,51169,Scott,Lenowisco,235,20,5
10/14/2020,51171,Shenandoah,Lord Fairfax,887,94,59
